maintenance_id,property_id,maintenance_date,maintenance_type,cost,description,1,731,12/19/2019,error: undefined method `first' for nil:NilClass,3562,3-000 - General,852,1/28/2021,5889,13-185 - Kennels and Animal Shelters
30.0,567.0,6/14/2021,HVAC servicing,4683.0,1-010 - Project Manager,,,,,,,,,,
31.0,350.0,8/18/2019,Flooring repair,656.0,3-300 - Footings,,,,,,,,,,
32.0,509.0,1/14/2023,Flooring repair,4067.0,13-160 - Aquariums,,,,,,,,,,
33.0,526.0,2/13/2021,Window replacement,589.0,13-500 - Recording Instrumentation,,,,,,,,,,
34.0,455.0,7/20/2023,Painting,1455.0,15-400 - Plumbing Fixtures and Equipment,,,,,,,,,,
35.0,887.0,6/2/2020,Window replacement,1720.0,10-150 - Compartments and Cubicles,,,,,,,,,,
36.0,842.0,9/18/2021,Electrical maintenance,4025.0,12-500 - Furniture,,,,,,,,,,
37.0,486.0,11/22/2021,Roofing replacement,6266.0,10-240 - Grilles and Screens,,,,,,,,,,
38.0,280.0,5/21/2020,Roofing replacement,2237.0,10 - Specialties,,,,,,,,,,
39.0,683.0,2/16/2023,Flooring repair,4675.0,1-002 - Instructions,,,,,,,,,,
40.0,872.0,8/10/2019,HVAC servicing,5014.0,10-200 - Louvers and Vents,,,,,,,,,,
41.0,855.0,4/16/2020,Plumbing repair,1728.0,2-936 - Fertilizer,,,,,,,,,,
42.0,11.0,6/12/2020,HVAC servicing,9290.0,7 - Thermal and Moisture Protection,,,,,,,,,,
43.0,675.0,5/5/2019,Flooring repair,8826.0,3-400 - Precast Concrete,,,,,,,,,,
44.0,339.0,8/14/2021,HVAC servicing,1491.0,2-625 - Retaining Wall Drainage Piping,,,,,,,,,,
45.0,337.0,4/12/2019,,6087.0,1-002 - Instructions,,,,,,,,,,
46.0,497.0,8/23/2021,HVAC servicing,7129.0,11-100 - Mercantile Equipment,,,,,,,,,,
47.0,547.0,6/18/2019,Plumbing repair,1311.0,11-040 - Ecclesiastical Equipment,,,,,,,,,,
48.0,554.0,10/19/2021,HVAC servicing,4781.0,10-500 - Lockers,,,,,,,,,,
49.0,544.0,11/14/2022,Flooring repair,8898.0,"15-950 - Testing, Adjusting, and Balancing",,,,,,,,,,
50.0,939.0,7/13/2021,Window replacement,2953.0,1-510 - Temporary Utilities,,,,,,,,,,
51.0,828.0,11/6/2022,Flooring repair,8736.0,1-011 - Project Engineer,,,,,,,,,,
52.0,583.0,2/16/2022,Flooring repair,5137.0,5-500 - Metal Fabrications,,,,,,,,,,
53.0,59.0,9/15/2023,HVAC servicing,1358.0,6-050 - Basic Wood and Plastic Materials and Methods,,,,,,,,,,
54.0,572.0,5/28/2019,Painting,1596.0,2-500 - Utility Services,,,,,,,,,,
55.0,747.0,5/11/2022,Electrical maintenance,4761.0,1-012 - Superintendent,,,,,,,,,,
56.0,453.0,11/5/2021,Window replacement,3209.0,2-240 - Dewatering,,,,,,,,,,
57.0,778.0,12/13/2019,Plumbing repair,4953.0,12 - Furnishings,,,,,,,,,,
58.0,560.0,6/2/2019,Electrical maintenance,5322.0,2-220 - Site Demolition,,,,,,,,,,
59.0,202.0,6/7/2022,Window replacement,8792.0,11-780 - Mortuary Equipment,,,,,,,,,,
60.0,566.0,8/22/2020,Plumbing repair,9191.0,4-400 - Stone,,,,,,,,,,
61.0,27.0,2/4/2021,Plumbing repair,233.0,3-210 - Cast-In-Place Concrete,,,,,,,,,,
62.0,403.0,11/29/2019,Plumbing repair,2561.0,13-550 - Transportation Control Instrumentation,,,,,,,,,,
63.0,391.0,1/29/2023,Flooring repair,2134.0,11-150 - Parking Control Equipment,,,,,,,,,,
64.0,758.0,3/29/2020,Window replacement,7841.0,5-100 - Structural Metals,,,,,,,,,,
65.0,10.0,10/30/2021,Painting,1466.0,2-812 - Drip Irrigation,,,,,,,,,,
66.0,861.0,8/31/2021,Roofing replacement,3014.0,2-821 - Chain Link Fences,,,,,,,,,,
67.0,395.0,9/8/2019,Electrical maintenance,441.0,11-100 - Mercantile Equipment,,,,,,,,,,
68.0,628.0,6/17/2022,Electrical maintenance,6405.0,8-700 - Hardware,,,,,,,,,,
69.0,64.0,5/24/2019,Electrical maintenance,8286.0,11-200 - Water Supply and Treatment Equipment,,,,,,,,,,
70.0,346.0,8/11/2022,Window replacement,2824.0,2-935 - Plant Maintenance,,,,,,,,,,
71.0,785.0,9/28/2023,HVAC servicing,5598.0,4-400 - Stone,,,,,,,,,,
72.0,759.0,3/12/2021,Painting,108.0,13-240 - Oxygenation Systems,,,,,,,,,,
73.0,174.0,3/13/2020,Window replacement,7286.0,11-850 - Navigation Equipment,,,,,,,,,,
74.0,561.0,12/1/2020,Plumbing repair,6545.0,13-175 - Ice Rinks,,,,,,,,,,
75.0,398.0,8/7/2021,Plumbing repair,8696.0,1-640 - Owner Furnished Products,,,,,,,,,,
76.0,327.0,3/3/2021,HVAC servicing,3376.0,2-311 - Final Grading,,,,,,,,,,
77.0,35.0,12/10/2022,Electrical maintenance,735.0,2-781 - Asphalt Pavers,,,,,,,,,,
78.0,676.0,8/9/2020,Plumbing repair,642.0,8 - Doors and Windows,,,,,,,,,,
79.0,969.0,8/4/2022,Painting,5475.0,10-350 - Flagpoles,,,,,,,,,,
80.0,296.0,7/27/2021,Window replacement,6401.0,15 - Mechanical,,,,,,,,,,
81.0,308.0,5/8/2023,Painting,967.0,13-550 - Transportation Control Instrumentation,,,,,,,,,,
82.0,381.0,2/12/2020,,5012.0,10-200 - Louvers and Vents,,,,,,,,,,
83.0,432.0,4/9/2023,Electrical maintenance,8240.0,11-150 - Parking Control Equipment,,,,,,,,,,
84.0,718.0,2/25/2022,Painting,1762.0,4-700 - Simulated Masonry,,,,,,,,,,
85.0,251.0,1/29/2021,Painting,3868.0,15-200 - Process Piping,,,,,,,,,,
86.0,910.0,5/18/2022,Window replacement,9701.0,5-100 - Structural Metals,,,,,,,,,,
87.0,61.0,6/2/2022,Electrical maintenance,1545.0,6-100 - Rough Carpentry,,,,,,,,,,
88.0,577.0,6/12/2022,Roofing replacement,846.0,5-200 - Metal Joists,,,,,,,,,,
89.0,176.0,3/29/2020,Window replacement,910.0,11-130 - Audio-Visual Equipment,,,,,,,,,,
90.0,67.0,1/14/2020,Roofing replacement,5997.0,13-800 - Building Automation and Control,,,,,,,,,,
91.0,611.0,12/11/2022,Window replacement,5390.0,11-160 - Loading Dock Equipment,,,,,,,,,,
92.0,54.0,2/7/2022,Window replacement,8755.0,3 - Concrete,,,,,,,,,,
93.0,1000.0,5/28/2019,Painting,9651.0,13-230 - Digester Covers and Appurtenances,,,,,,,,,,
94.0,5.0,10/23/2023,Plumbing repair,3528.0,10-900 - Wardrobe and Closet Specialties,,,,,,,,,,
95.0,673.0,5/3/2023,Electrical maintenance,9796.0,2-900 - Landscaping,,,,,,,,,,
96.0,986.0,3/12/2020,Flooring repair,3466.0,2-740 - Flexible Pavement Asphalt Pavement,,,,,,,,,,
97.0,968.0,3/23/2019,Electrical maintenance,6336.0,2-300 - Earthwork,,,,,,,,,,
98.0,743.0,10/5/2020,Flooring repair,2753.0,10-100 - Visual Display Boards,,,,,,,,,,
99.0,858.0,1/4/2019,Painting,7324.0,10-530 - Protective Covers,,,,,,,,,,
100.0,408.0,8/14/2019,Painting,5962.0,4 - Masonry,,,,,,,,,,
101.0,100.0,8/28/2019,Flooring repair,4358.0,1-511 - Temporary Electricity,,,,,,,,,,
102.0,32.0,5/18/2022,Roofing replacement,9259.0,11-280 - Hydraulic Gates and Valves,,,,,,,,,,
103.0,948.0,10/3/2019,Plumbing repair,3669.0,10-300 - Fireplaces and Stoves,,,,,,,,,,
104.0,226.0,9/30/2023,Painting,3392.0,13-150 - Swimming Pools,,,,,,,,,,
105.0,896.0,3/24/2021,Flooring repair,5042.0,4-200 - Masonry Units,,,,,,,,,,
106.0,218.0,10/17/2023,Plumbing repair,5374.0,11-900 - Exhibit Equipment,,,,,,,,,,
107.0,82.0,10/9/2020,Painting,9424.0,3-400 - Precast Concrete,,,,,,,,,,
108.0,101.0,5/8/2023,Roofing replacement,8906.0,11-070 - Instrumental Equipment,,,,,,,,,,
109.0,750.0,4/9/2019,Painting,3068.0,2-824 - Wire Fences and Gates,,,,,,,,,,
110.0,900.0,9/24/2019,Painting,5959.0,10-600 - Partitions,,,,,,,,,,
111.0,47.0,7/29/2022,HVAC servicing,1320.0,1-760 - Protecting Installed Construction,,,,,,,,,,
112.0,207.0,4/12/2019,HVAC servicing,4584.0,2-870 - Sculpture/Ornamental,,,,,,,,,,
113.0,761.0,8/14/2019,Plumbing repair,9484.0,10-500 - Lockers,,,,,,,,,,
114.0,521.0,6/26/2019,Flooring repair,6418.0,13-500 - Recording Instrumentation,,,,,,,,,,
115.0,780.0,11/19/2022,Roofing replacement,8985.0,12 - Furnishings,,,,,,,,,,
116.0,292.0,2/21/2023,Roofing replacement,4292.0,9-400 - Terrazzo,,,,,,,,,,
117.0,485.0,6/12/2021,Electrical maintenance,4457.0,8 - Doors and Windows,,,,,,,,,,
118.0,418.0,1/8/2020,,8197.0,4-800 - Masonry Assemblies,,,,,,,,,,
119.0,579.0,4/26/2020,,4686.0,10-750 - Telephone Specialties,,,,,,,,,,
120.0,334.0,1/21/2020,Painting,9835.0,14-900 - Transportation,,,,,,,,,,
121.0,451.0,11/21/2023,Plumbing repair,7391.0,2-932 - PLants and Bulbs,,,,,,,,,,
122.0,465.0,5/28/2022,Window replacement,6625.0,3-320 - Slab Foundations,,,,,,,,,,
123.0,456.0,9/9/2023,Plumbing repair,8172.0,2-815 - Fountains,,,,,,,,,,
124.0,314.0,11/29/2020,Roofing replacement,6926.0,5-600 - Hydraulic Fabrications,,,,,,,,,,
125.0,312.0,1/31/2020,Electrical maintenance,4754.0,15-800 - Air Distribution,,,,,,,,,,
126.0,625.0,1/10/2022,Roofing replacement,7984.0,1-542 - Construction Scaffolding and Platforms,,,,,,,,,,
127.0,356.0,10/7/2020,Painting,9485.0,13-010 - Air-Supported Structures,,,,,,,,,,
128.0,151.0,4/13/2023,Painting,9155.0,"15-950 - Testing, Adjusting, and Balancing",,,,,,,,,,
129.0,73.0,10/12/2023,Window replacement,8803.0,2-815 - Fountains,,,,,,,,,,
130.0,108.0,8/26/2019,Roofing replacement,7523.0,13-100 - Lightning Protection,,,,,,,,,,
131.0,416.0,3/1/2022,Painting,2115.0,1-600 - Product Requirements (Scope of Work),,,,,,,,,,
132.0,333.0,12/26/2019,HVAC servicing,3287.0,1-010 - Project Manager,,,,,,,,,,
133.0,645.0,9/9/2023,Plumbing repair,4432.0,8-900 - Glazed Curtain Wall,,,,,,,,,,
134.0,170.0,1/7/2021,HVAC servicing,2009.0,10-600 - Partitions,,,,,,,,,,
135.0,494.0,1/3/2019,Painting,514.0,7-050 - Basic Thermal and Moisture Protection Materials and Methods,,,,,,,,,,
136.0,961.0,11/2/2023,Plumbing repair,5330.0,10-750 - Telephone Specialties,,,,,,,,,,
137.0,847.0,9/18/2020,Roofing replacement,9214.0,13-030 - Special Purpose Rooms,,,,,,,,,,
138.0,705.0,1/5/2023,Electrical maintenance,184.0,"11-480 - Athletic, Recreational, and Therapeutic Equipment",,,,,,,,,,
139.0,231.0,2/7/2021,Flooring repair,2983.0,7-600 - Flashing and Sheet Metal,,,,,,,,,,
140.0,888.0,12/25/2020,Window replacement,9689.0,2-900 - Landscaping,,,,,,,,,,
141.0,962.0,8/27/2021,Roofing replacement,8209.0,5-050 - Basic Metal Materials and Methods,,,,,,,,,,
142.0,69.0,7/26/2022,Roofing replacement,2221.0,11-100 - Mercantile Equipment,,,,,,,,,,
143.0,889.0,11/20/2020,Plumbing repair,1028.0,2-317 - Select Borrow,,,,,,,,,,
144.0,804.0,8/19/2019,Painting,2233.0,10-290 - Pest Control,,,,,,,,,,
145.0,304.0,12/1/2020,,7948.0,8-200 - Wood and Plastic Doors,,,,,,,,,,
146.0,598.0,2/14/2020,Plumbing repair,5416.0,"7-300 - Shingles, Roof Tiles, and Roof Coverings",,,,,,,,,,
147.0,238.0,11/9/2020,,8720.0,2-812 - Drip Irrigation,,,,,,,,,,
148.0,79.0,12/26/2020,Electrical maintenance,1018.0,11-500 - Industrial and Process Equipment,,,,,,,,,,
149.0,341.0,11/1/2019,Window replacement,5073.0,15-500 - Heat-Generation Equipment,,,,,,,,,,
150.0,84.0,5/10/2022,Plumbing repair,3460.0,3-540 - Cementitious Underlayments,,,,,,,,,,
151.0,933.0,12/12/2019,Plumbing repair,2356.0,"15-700 - Heating, Venting and Air Conditioning",,,,,,,,,,
152.0,654.0,7/26/2020,Roofing replacement,7668.0,2-815 - Fountains,,,,,,,,,,
153.0,286.0,5/4/2019,Window replacement,8113.0,4-050 - Basic Masonry Materials and Methods,,,,,,,,,,
154.0,662.0,3/10/2021,HVAC servicing,2500.0,17 - Markup and Contingency,,,,,,,,,,
155.0,714.0,1/19/2023,Roofing replacement,1075.0,12-900 - Furnishings Restoration and Repair,,,,,,,,,,
156.0,380.0,1/25/2023,Painting,5099.0,2-783 - Interlocking Concrete Unit Paving,,,,,,,,,,
157.0,843.0,4/28/2019,Painting,9751.0,16-700 - Communications,,,,,,,,,,
158.0,123.0,5/10/2023,HVAC servicing,5360.0,14-800 - Scaffolding,,,,,,,,,,
159.0,800.0,1/7/2022,Painting,4768.0,14-800 - Scaffolding,,,,,,,,,,
160.0,115.0,8/9/2021,Window replacement,9790.0,13-700 - Security Access and Surveillance,,,,,,,,,,
161.0,738.0,7/5/2022,Electrical maintenance,1661.0,6 - Wood and Plastics,,,,,,,,,,
162.0,295.0,10/9/2019,Painting,6719.0,8-050 - Basic Door and Window Materials and Methods,,,,,,,,,,
163.0,450.0,2/24/2021,Roofing replacement,8007.0,1-518 - Temporary Water,,,,,,,,,,
164.0,326.0,7/12/2020,Window replacement,991.0,2-924 - Sodding,,,,,,,,,,
165.0,688.0,10/13/2021,Flooring repair,6023.0,"13-080 - Sound, Vibration, and Seismic Control",,,,,,,,,,
166.0,448.0,11/24/2020,Window replacement,1480.0,1-517 - Temporary Telephone,,,,,,,,,,
167.0,307.0,2/23/2019,Roofing replacement,4932.0,9-500 - Ceilings,,,,,,,,,,
168.0,8.0,12/16/2019,Roofing replacement,9814.0,11-100 - Mercantile Equipment,,,,,,,,,,
169.0,709.0,4/3/2020,Roofing replacement,7678.0,14-300 - Escalators and Moving Walks,,,,,,,,,,
170.0,869.0,6/12/2022,HVAC servicing,5565.0,5-100 - Structural Metals,,,,,,,,,,
171.0,658.0,5/4/2022,Plumbing repair,6068.0,7-100 - Damproofing and Waterproofing,,,,,,,,,,
172.0,253.0,1/18/2020,,1341.0,15-900 - HVAC Instruments and Controls,,,,,,,,,,
173.0,608.0,4/8/2023,Plumbing repair,4624.0,2-790 - Athletic Surfacing,,,,,,,,,,
174.0,244.0,8/9/2023,Electrical maintenance,8540.0,3-000 - General,,,,,,,,,,
175.0,631.0,7/14/2022,Roofing replacement,7411.0,8-500 - Windows,,,,,,,,,,
176.0,875.0,6/24/2021,HVAC servicing,5571.0,7-600 - Flashing and Sheet Metal,,,,,,,,,,
177.0,70.0,3/23/2022,Roofing replacement,1473.0,16-800 - Sound and Video,,,,,,,,,,
178.0,189.0,2/19/2023,,3158.0,8-300 - Specialty Doors,,,,,,,,,,
179.0,324.0,2/7/2023,Roofing replacement,1107.0,16-400 - Low-Voltage Distribution,,,,,,,,,,
180.0,832.0,8/19/2021,Flooring repair,6657.0,2-822 - Ornamental Metal Fences and Gates,,,,,,,,,,
181.0,124.0,12/21/2021,Window replacement,1057.0,2-919 - Topsoil,,,,,,,,,,
182.0,674.0,11/15/2023,Roofing replacement,2631.0,2-783 - Interlocking Concrete Unit Paving,,,,,,,,,,
183.0,445.0,3/28/2022,Flooring repair,9647.0,10-450 - Pedestrian Control Devices,,,,,,,,,,
184.0,190.0,2/15/2021,Painting,9226.0,10-600 - Partitions,,,,,,,,,,
185.0,121.0,5/25/2019,Flooring repair,2790.0,4-400 - Stone,,,,,,,,,,
186.0,589.0,6/13/2020,Roofing replacement,8821.0,9-800 - Acoustical Treatment,,,,,,,,,,
187.0,477.0,11/8/2020,,128.0,"15-700 - Heating, Venting and Air Conditioning",,,,,,,,,,
188.0,330.0,6/1/2020,Painting,6867.0,9-900 - Paints and Coatings,,,,,,,,,,
189.0,685.0,3/6/2023,HVAC servicing,2540.0,2-770 - Curb and Gutters,,,,,,,,,,
190.0,527.0,10/11/2021,Plumbing repair,5402.0,2-230 - Site Clearing,,,,,,,,,,
191.0,819.0,12/25/2019,Roofing replacement,5637.0,16-100 - Electrical,,,,,,,,,,
192.0,166.0,1/29/2019,HVAC servicing,3483.0,7 - Thermal and Moisture Protection,,,,,,,,,,
193.0,571.0,12/3/2022,Window replacement,1117.0,10-270 - Access Flooring,,,,,,,,,,
194.0,824.0,11/27/2019,Flooring repair,6465.0,1-517 - Temporary Telephone,,,,,,,,,,
195.0,528.0,5/4/2021,Window replacement,777.0,12-900 - Furnishings Restoration and Repair,,,,,,,,,,
196.0,826.0,12/1/2019,Flooring repair,501.0,2-312 - Rough Grading,,,,,,,,,,
197.0,4.0,3/15/2022,Roofing replacement,4459.0,16-050 - Basic Electrical Materials and Methods,,,,,,,,,,
198.0,666.0,6/25/2021,Window replacement,5093.0,14-300 - Escalators and Moving Walks,,,,,,,,,,
199.0,833.0,12/30/2023,Plumbing repair,7411.0,1-542 - Construction Scaffolding and Platforms,,,,,,,,,,
200.0,734.0,6/25/2020,Window replacement,4718.0,12-900 - Furnishings Restoration and Repair,,,,,,,,,,
201.0,433.0,2/18/2022,Electrical maintenance,6428.0,3-330 - Poured Concrete Basement Walls,,,,,,,,,,
202.0,689.0,1/7/2021,Window replacement,2371.0,7 - Thermal and Moisture Protection,,,,,,,,,,
203.0,338.0,3/13/2019,Roofing replacement,6769.0,2-936 - Fertilizer,,,,,,,,,,
204.0,260.0,11/10/2022,Window replacement,7221.0,14-200 - Elevators,,,,,,,,,,
205.0,41.0,11/13/2022,Painting,9868.0,17-030 - Bond,,,,,,,,,,
206.0,112.0,4/13/2020,Electrical maintenance,9106.0,6-400 - Architectural Woodwork,,,,,,,,,,
207.0,938.0,8/22/2022,,830.0,11-110 - Commercial Laundry and Dry Cleaning Equipment,,,,,,,,,,
208.0,696.0,10/17/2019,HVAC servicing,6741.0,2-540 - Septic Tank,,,,,,,,,,
209.0,9.0,1/31/2019,Electrical maintenance,2135.0,17-040 - Profit,,,,,,,,,,
210.0,197.0,5/3/2023,Plumbing repair,9343.0,1-523 - Sanitary Facilities,,,,,,,,,,
211.0,75.0,6/1/2021,Roofing replacement,3027.0,12-900 - Furnishings Restoration and Repair,,,,,,,,,,
212.0,81.0,8/10/2023,Window replacement,1078.0,"15-950 - Testing, Adjusting, and Balancing",,,,,,,,,,
213.0,191.0,12/3/2020,Roofing replacement,4863.0,3-330 - Poured Concrete Basement Walls,,,,,,,,,,
214.0,945.0,10/27/2023,Electrical maintenance,6474.0,3-300 - Footings,,,,,,,,,,
215.0,686.0,9/19/2021,Roofing replacement,1535.0,10-880 - Scales,,,,,,,,,,
216.0,182.0,2/10/2023,Window replacement,6295.0,15-500 - Heat-Generation Equipment,,,,,,,,,,
217.0,438.0,10/13/2019,Window replacement,8311.0,3-540 - Cementitious Underlayments,,,,,,,,,,
218.0,919.0,12/13/2019,Plumbing repair,8735.0,13-850 - Detection and Alarm,,,,,,,,,,
219.0,128.0,6/11/2023,Plumbing repair,4302.0,2-621 - Foundatation Drainage Piping,,,,,,,,,,
220.0,236.0,1/27/2023,Window replacement,6229.0,13-010 - Air-Supported Structures,,,,,,,,,,
221.0,798.0,8/6/2021,Flooring repair,6193.0,11-110 - Commercial Laundry and Dry Cleaning Equipment,,,,,,,,,,
222.0,221.0,9/1/2021,Plumbing repair,5029.0,3-050 - Concrete Subcontractor,,,,,,,,,,
223.0,349.0,1/27/2021,Window replacement,2240.0,13-200 - Storage Tanks,,,,,,,,,,
224.0,429.0,7/10/2020,Window replacement,8588.0,9-250 - Gypsum Wallboard,,,,,,,,,,
225.0,496.0,1/17/2019,Plumbing repair,5430.0,2-250 - Shoring and Underpinning,,,,,,,,,,
226.0,693.0,1/19/2020,Painting,3487.0,3 - Concrete,,,,,,,,,,
227.0,175.0,12/31/2022,Window replacement,9918.0,2-800 - Site Amenities,,,,,,,,,,
228.0,305.0,8/24/2022,HVAC servicing,8112.0,"10-800 - Toilet, Bath, and Laundry Specialties",,,,,,,,,,
229.0,908.0,6/29/2023,HVAC servicing,9619.0,3-000 - General,,,,,,,,,,
230.0,639.0,5/31/2023,Plumbing repair,6166.0,1-570 - Temporary Controls,,,,,,,,,,
231.0,39.0,7/13/2019,Flooring repair,8540.0,5-800 - Expansion Control,,,,,,,,,,
232.0,993.0,7/15/2022,Electrical maintenance,4355.0,3-600 - Grouts,,,,,,,,,,
233.0,136.0,3/29/2022,Roofing replacement,250.0,13-230 - Digester Covers and Appurtenances,,,,,,,,,,
234.0,791.0,12/12/2019,HVAC servicing,5522.0,9-400 - Terrazzo,,,,,,,,,,
235.0,272.0,8/22/2022,Flooring repair,4723.0,11-040 - Ecclesiastical Equipment,,,,,,,,,,
236.0,740.0,12/25/2020,Painting,1745.0,5-050 - Basic Metal Materials and Methods,,,,,,,,,,
237.0,3.0,10/21/2022,HVAC servicing,8965.0,12-900 - Furnishings Restoration and Repair,,,,,,,,,,
238.0,739.0,3/22/2022,Plumbing repair,9266.0,9-700 - Wall Finishes,,,,,,,,,,
239.0,196.0,6/3/2019,HVAC servicing,7350.0,9-800 - Acoustical Treatment,,,,,,,,,,
240.0,203.0,12/21/2019,Plumbing repair,3559.0,9-050 - Basic Finish Materials and Methods,,,,,,,,,,
241.0,558.0,11/22/2020,Window replacement,2918.0,2 - Site Construction,,,,,,,,,,
242.0,774.0,9/23/2019,HVAC servicing,3392.0,2-850 - Bridges/Footbridges,,,,,,,,,,
243.0,352.0,11/2/2023,Roofing replacement,1137.0,4-800 - Masonry Assemblies,,,,,,,,,,
244.0,661.0,12/10/2022,Flooring repair,3326.0,10-100 - Visual Display Boards,,,,,,,,,,
245.0,706.0,10/19/2021,Flooring repair,5251.0,13-900 - Fire Suppression,,,,,,,,,,
246.0,110.0,9/28/2023,Roofing replacement,4635.0,1-510 - Temporary Utilities,,,,,,,,,,
247.0,502.0,9/28/2022,Electrical maintenance,4877.0,17 - Markup and Contingency,,,,,,,,,,
248.0,394.0,4/14/2020,,881.0,16-400 - Low-Voltage Distribution,,,,,,,,,,
249.0,581.0,8/18/2020,HVAC servicing,6945.0,13-175 - Ice Rinks,,,,,,,,,,
250.0,764.0,4/16/2021,Electrical maintenance,8830.0,2-750 - Concrete Pads and Walks,,,,,,,,,,
251.0,636.0,3/19/2021,Flooring repair,6513.0,4-600 - Corrosion-Resistant Masonry,,,,,,,,,,
252.0,852.0,10/26/2019,,3132.0,8-900 - Glazed Curtain Wall,,,,,,,,,,
253.0,563.0,5/12/2022,Painting,8048.0,15-400 - Plumbing Fixtures and Equipment,,,,,,,,,,
254.0,143.0,11/4/2019,Roofing replacement,5102.0,10-300 - Fireplaces and Stoves,,,,,,,,,,
255.0,748.0,4/27/2020,,3177.0,2-919 - Topsoil,,,,,,,,,,
256.0,86.0,10/16/2023,Electrical maintenance,7561.0,3-600 - Grouts,,,,,,,,,,
257.0,925.0,7/12/2021,Plumbing repair,234.0,13-230 - Digester Covers and Appurtenances,,,,,,,,,,
258.0,694.0,12/2/2020,Flooring repair,4983.0,1-511 - Temporary Electricity,,,,,,,,,,
259.0,284.0,9/7/2021,Flooring repair,4100.0,1-523 - Sanitary Facilities,,,,,,,,,,
260.0,78.0,4/24/2022,Flooring repair,2682.0,2-800 - Site Amenities,,,,,,,,,,
261.0,271.0,7/17/2021,Roofing replacement,101.0,10-450 - Pedestrian Control Devices,,,,,,,,,,
262.0,621.0,8/11/2020,Flooring repair,9552.0,9-300 - Tile,,,,,,,,,,
263.0,30.0,8/23/2021,Window replacement,6636.0,14-300 - Escalators and Moving Walks,,,,,,,,,,
264.0,452.0,3/29/2022,Painting,7356.0,5-600 - Hydraulic Fabrications,,,,,,,,,,
265.0,602.0,10/1/2020,Roofing replacement,4051.0,3-500 - Cementitious Decks and Underlayments,,,,,,,,,,
266.0,457.0,3/15/2023,,3241.0,1-510 - Temporary Utilities,,,,,,,,,,
267.0,767.0,6/5/2023,Electrical maintenance,7060.0,7-200 - Thermal Protection - Insulation,,,,,,,,,,
268.0,76.0,2/20/2020,Painting,1970.0,1-517 - Temporary Telephone,,,,,,,,,,
269.0,821.0,6/27/2020,Flooring repair,9050.0,10-450 - Pedestrian Control Devices,,,,,,,,,,
